dataset,data_type,size,resolution_scale,average_fps,low10_fps,low1_fps,std_dev,Mrps,average_jumps,internal_nodes,memory_usage,dimensionality,voxel_count
teapot,matrix,64,0.20,61.49,39.60,35.00,21.68,2.33,39.77,,4194304.00,,7274
teapot,matrix,128,0.20,40.07,19.50,15.67,26.59,1.46,69.02,,33554432.00,,33006
teapot,matrix,256,0.20,16.99,5.60,5.00,20.20,0.59,119.60,,268435456.00,,199264
teapot,matrix,512,0.20,4.91,2.00,2.00,9.07,0.20,219.48,,2147483648.00,,1638671
teapot,octree,64,0.20,36.17,22.30,18.67,14.13,1.32,6.87,2303,842792.00,2.21,7274
teapot,octree,128,0.20,31.14,19.43,16.67,9.07,1.12,8.43,10137,3796600.00,2.20,33006
teapot,octree,256,0.20,27.80,16.27,11.67,11.70,0.97,9.48,50945,22018408.00,2.25,199264
teapot,octree,512,0.20,24.69,14.10,11.33,9.67,0.84,9.62,323796,172697120.00,2.34,1638671
teapot,octree,1024,0.20,21.59,11.27,8.00,8.15,0.47,10.55,2320298,1416150272.00,2.42,13772318
teapot,k3-tree,64,0.20,23.87,14.00,11.00,10.86,0.85,6.75,559,80384.00,2.21,7274
teapot,k3-tree,128,0.20,18.76,10.73,8.00,7.65,0.66,8.27,2371,346112.00,2.20,33006
teapot,k3-tree,256,0.20,16.49,7.73,6.00,8.50,0.58,8.99,11085,1721600.00,2.25,199264
teapot,k3-tree,512,0.20,14.60,7.47,6.33,8.36,0.46,9.57,60156,10845440.00,2.34,1638671
teapot,k3-tree,1024,0.20,11.62,6.00,5.00,7.82,0.24,10.86,367910,77195264.00,2.42,13772318
dragon,matrix,64,0.20,60.84,44.57,39.33,16.94,2.21,43.43,,4194304.00,,10216
dragon,matrix,128,0.20,31.90,18.90,16.00,14.20,1.13,88.34,,33554432.00,,41908
dragon,matrix,256,0.20,10.99,5.37,5.00,7.75,0.38,169.85,,268435456.00,,196777
dragon,matrix,512,0.20,3.55,2.00,2.00,2.43,0.13,332.54,,2147483648.00,,1067241
dragon,octree,64,0.20,36.88,26.73,24.67,7.75,1.33,7.37,3186,1179392.00,2.27,10216
dragon,octree,128,0.20,31.24,20.83,18.33,7.53,1.12,8.54,13456,4872048.00,2.24,41908
dragon,octree,256,0.20,26.68,17.43,16.00,8.46,0.93,9.59,59255,22530832.00,2.24,196777
dragon,octree,512,0.20,22.85,14.20,12.33,6.67,0.75,10.52,279375,118502224.00,2.26,1067241
dragon,octree,1024,0.20,19.91,12.07,10.33,5.98,0.52,11.38,1464558,714208832.00,2.30,6651451
dragon,k3-tree,64,0.20,21.46,15.07,14.00,5.84,0.77,7.33,733,110336.00,2.27,10216
dragon,k3-tree,128,0.20,17.51,11.20,9.33,4.97,0.62,8.53,3187,458496.00,2.24,41908
dragon,k3-tree,256,0.20,14.37,8.77,8.00,4.76,0.50,9.63,13929,2010112.00,2.24,196777
dragon,k3-tree,512,0.20,12.46,7.40,7.00,4.36,0.42,10.46,62142,9440000.00,2.26,1067241
dragon,k3-tree,1024,0.20,11.05,6.30,5.67,3.89,0.29,11.13,294031,49220608.00,2.30,6651451
bunny,matrix,64,0.20,75.54,48.07,41.67,19.84,2.79,29.77,,4194304.00,,13831
bunny,matrix,128,0.20,42.39,21.67,18.33,20.17,1.53,56.55,,33554432.00,,61453
bunny,matrix,256,0.20,16.47,6.60,6.00,16.38,0.57,102.22,,268435456.00,,385161
bunny,matrix,512,0.20,6.32,2.47,2.00,10.04,0.21,185.30,,2147483648.00,,2943262
bunny,octree,64,0.20,43.10,27.67,22.67,10.18,1.59,5.89,4488,1612088.00,2.34,13831
bunny,octree,128,0.20,35.69,22.23,16.67,9.10,1.29,6.90,19275,7104080.00,2.31,61453
bunny,octree,256,0.20,30.32,17.70,14.00,8.42,1.08,7.70,97345,42460544.00,2.35,385161
bunny,octree,512,0.20,26.30,14.73,10.00,7.71,0.83,8.45,590720,310990432.00,2.41,2943262
bunny,octree,1024,0.20,22.99,12.27,8.33,6.94,0.42,9.01,4045807,2425100032.00,2.48,23512148
bunny,k3-tree,64,0.20,26.11,15.17,11.00,7.69,0.94,5.71,1075,154624.00,2.34,13831
bunny,k3-tree,128,0.20,20.99,11.60,8.00,6.28,0.75,6.77,4611,656384.00,2.31,61453
